Season,Rk,Tm,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2021-22,6,Denver Nuggets,20,241.3,42.3,86,0.492,11.3,30,0.375,31,56,0.554,17.7,22.1,0.801,10.1,34.7,44.8,25.8,6.9,4.2,11.6,19.3,113.5
2022-23,3,Denver Nuggets,5,240,39.4,82.8,0.476,11.2,31.4,0.357,28.2,51.4,0.549,20,25.2,0.794,11.2,30.6,41.8,25,7,3.4,16.4,25,110
