Player,Position ,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Season
Jamal Murray,Point Guard,22,19,19,39.6,9.8,19.4,0.505,3.3,7.2,0.453,6.5,12.2,0.537,0.59,3.7,4.1,0.897,1.1,3.8,4.8,6.6,0.9,0.3,2.8,2.2,26.5,2020
Nikola Jokić,Center,24,19,19,36.5,9.4,18.1,0.519,2.2,5.2,0.429,7.2,12.9,0.555,0.58,3.5,4.2,0.835,1.9,7.9,9.8,5.7,1.1,0.8,3.3,3.6,24.4,2020
Jerami Grant,Small Forward,25,19,16,34.4,3.7,9.2,0.406,1.6,5,0.326,2.1,4.2,0.5,0.494,2.5,2.8,0.889,0.4,2.9,3.3,1.3,0.6,0.8,1.3,3.1,11.6,2020
Gary Harris,Shooting Guard,25,14,12,27.1,2.4,6.4,0.378,1.4,3.7,0.365,1.1,2.7,0.395,0.483,1.2,1.6,0.773,0.5,1.5,2,1.7,1.1,0.3,1.5,3.2,7.4,2020
Paul Millsap,Power Forward,34,19,19,24.2,2.5,6.2,0.398,0.8,2.3,0.341,1.7,3.9,0.432,0.462,2.3,2.8,0.796,1.4,3.3,4.7,1.2,0.6,0.5,1.3,2.6,8,2020
Michael Porter Jr.,6th man ,21,19,3,23.7,4.1,8.6,0.476,1.8,4.7,0.382,2.3,3.9,0.587,0.579,1.4,1.8,0.743,1.1,5.6,6.7,0.8,0.7,0.3,1.3,2.3,11.4,2020
Monte Morris,7th man ,24,19,4,21.4,3.5,7,0.496,0.6,2.1,0.3,2.8,4.9,0.581,0.541,1.5,1.8,0.824,0.2,1.3,1.5,2.7,0.6,0.1,0.5,1.1,9.1,2020
Torrey Craig,8th man ,29,19,3,19.7,1.7,4.1,0.423,0.6,2.2,0.262,1.2,1.9,0.611,0.494,0.5,0.7,0.692,0.7,2.6,3.3,0.7,0.4,0.4,0.5,2.3,4.5,2020
Nikola Jokić,Center,23,14,14,39.8,9.4,18.6,0.506,1.6,4,0.393,7.9,14.6,0.537,0.548,4.7,5.6,0.846,3.9,9.1,13,8.4,1.1,0.9,2.6,3.9,25.1,2019
Gary Harris,Shooting Guard,24,14,14,36.9,5.2,11.3,0.462,1.4,4.1,0.351,3.8,7.2,0.525,0.525,2.4,2.7,0.868,0.6,3.5,4.1,2.3,0.9,0.6,0.8,2.7,14.2,2019
Jamal Murray,Point Guard,21,14,14,36.3,7.6,18,0.425,2,5.9,0.337,5.6,12.1,0.467,0.48,4,4.4,0.903,1.4,3,4.4,4.7,1,0.1,1.6,1.7,21.3,2019
Paul Millsap,Power Forward,33,14,14,33.5,5.2,11.1,0.468,0.9,2.7,0.316,4.4,8.4,0.517,0.506,3.4,4.4,0.77,1.7,5,6.7,0.8,0.9,1.1,1.3,3.4,14.6,2019
Torrey Craig,Small Forward,28,14,11,23.6,2.4,4.9,0.478,1.2,2.6,0.472,1.1,2.4,0.485,0.601,0.6,1.1,0.563,1.5,3.6,5.1,0.9,0.5,0.4,0.4,2.7,6.6,2019
Will Barton,6th man ,28,14,3,23.4,3.4,9.6,0.348,1.1,3.9,0.273,2.3,5.7,0.4,0.404,1.3,1.9,0.692,1.1,3.7,4.8,1.7,0.3,0.6,1,1.4,9.1,2019
Malik Beasley,7th man ,22,14,0,20.1,2.6,6.6,0.387,1.4,3.4,0.404,1.2,3.3,0.37,0.489,1.6,2.2,0.71,0.8,2.6,3.4,1,0.2,0.1,0.5,1.4,8.1,2019
Monte Morris,8th man ,23,14,0,16,2.4,6.1,0.384,0,0.9,0,2.4,5.2,0.452,0.384,0.6,0.9,0.692,0.2,1.1,1.4,2.6,0.4,0.1,0.4,1.1,5.4,2019
Mason Plumlee,9th man ,28,14,0,15.6,1.7,3.4,0.511,0,0.1,0,1.7,3.3,0.522,0.511,1.1,2,0.571,1.9,2.6,4.4,1.5,0.5,0.7,0.6,2.8,4.6,2019
