Season,Lg,Tm,W,L,Finish,,Age,Ht.,Wt.,,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2004-05,NBA,DEN,49,33,2,,26.7,06-Jun,213,,82,19755,3038,6615,0.459,320,940,0.34,2718,5675,0.479,1765,2313,0.763,967,2473,3440,1958,750,489,1224,1878,8161
2003-04,NBA,DEN,43,39,6,,25.6,06-Jun,215,,82,19730,2993,6763,0.443,331,985,0.336,2662,5778,0.461,1655,2159,0.767,1083,2387,3470,1794,745,520,1278,1804,7972
2002-03,NBA,DEN,17,65,7,,24.1,06-Jul,221,,82,19730,2689,6544,0.411,229,824,0.278,2460,5720,0.43,1294,1850,0.699,1112,2363,3475,1737,712,422,1514,2056,6901
2001-02,NBA,DEN,27,55,6,,28.2,06-Jun,213,,82,19805,2915,6870,0.424,423,1285,0.329,2492,5585,0.446,1306,1756,0.744,1117,2310,3427,1817,613,462,1205,1873,7559
2000-01,NBA,DEN,40,42,6,,27.9,06-Jun,209,,82,19780,2979,6877,0.433,512,1444,0.355,2467,5433,0.454,1448,1964,0.737,1044,2583,3627,1970,552,538,1136,1820,7918
1999-00,NBA,DEN,35,47,5,,25.9,06-Jul,211,,82,19855,3057,6911,0.442,470,1397,0.336,2587,5514,0.469,1531,2116,0.724,1073,2590,3663,1911,554,618,1281,1962,8115
1998-99,NBA,DEN,14,36,6,,24.6,06-May,210,,50,12025,1681,3989,0.421,302,922,0.328,1379,3067,0.45,1010,1325,0.762,647,1392,2039,969,376,275,739,1145,4674
1997-98,NBA,DEN,11,71,7,,26.5,06-Jun,214,,82,19730,2677,6412,0.417,288,893,0.323,2389,5519,0.433,1658,2147,0.772,1040,2157,3197,1547,664,393,1311,1937,7300
1996-97,NBA,DEN,21,61,5,,28.6,06-Jun,212,,82,19930,2934,6687,0.439,636,1711,0.372,2298,4976,0.462,1516,1992,0.761,994,2452,3446,1889,503,487,1359,1784,8020
1995-96,NBA,DEN,35,47,4,,26.8,06-Jul,212,,82,19830,3001,6657,0.451,397,1148,0.346,2604,5509,0.473,1614,2173,0.743,1057,2487,3544,1851,521,597,1265,1882,8013
1994-95,NBA,DEN,41,41,4,,26.6,06-Jul,210,,82,19980,3098,6461,0.479,413,1160,0.356,2685,5301,0.507,1700,2305,0.738,1040,2402,3442,1836,660,585,1381,2063,8309
1993-94,NBA,DEN,42,40,4,,24.8,06-Jun,211,,82,19755,3156,6781,0.465,170,597,0.285,2986,6184,0.483,1739,2423,0.718,1105,2557,3662,1763,679,686,1422,1926,8221
1992-93,NBA,DEN,36,46,4,,24.8,06-Jun,207,,82,19830,3352,7282,0.46,138,454,0.304,3214,6828,0.471,1784,2360,0.756,1266,2564,3830,1735,651,565,1413,2039,8626
1991-92,NBA,DEN,24,58,4,,25.7,06-Jul,204,,82,19780,3262,7380,0.442,126,418,0.301,3136,6962,0.45,1526,2067,0.738,1350,2352,3702,1553,773,461,1447,1984,8176
1990-91,NBA,DEN,20,62,7,,26.5,06-Jun,205,,82,19730,3901,8868,0.44,300,1059,0.283,3601,7809,0.461,1726,2263,0.763,1520,2530,4050,2005,856,406,1332,2235,9828
1989-90,NBA,DEN,43,39,4,,29.5,06-May,198,,82,19805,3716,8015,0.464,228,677,0.337,3488,7338,0.475,1737,2201,0.789,1169,2532,3701,2275,814,329,1136,2047,9397
